Name,Smiles,solv_dip,G_solv,HOMO_solv,LUMO_solv,C_charges,O_charges,Most_neg,Most_pos,Het_charges,SASA,LsoluHsolv,LsolvHsolu,Volume,MW,DeltaG_sol
DF-1022_water.log,CC(C)C[C@H](NC(=O)C1OC(O)C(O)C(O)C1O)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,10.2805,-0.211317,-0.36902,0.00671,0.3692199999999999,-4.615156,-0.683849,0.603231,-6.685044,626.7257080078125,0.45188,0.51773,515.698,442.2090762967869,-0.02853900000000001
DF-1042_water.log,CC(C)C[C@H](NC(=O)Cc1ccc2ccccc2n1)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,12.6059,0.227093,-0.35231,-0.03796,-1.1033069999999998,-1.8792140000000002,-0.686296,0.628719,-4.376875,622.2669067382812,0.40721,0.50102,452.288,435.2297134256159,-0.026123000000000007
DF-1048_water.log,CC(C)C[C@H](NC(=O)NC(C)c1ccc(F)cc1)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,8.4193,0.10841,-0.35617,-0.01412,-0.874897,-1.865818,-0.656867,0.734778,-4.839552,641.2481079101562,0.43105,0.50488,388.849,431.2359188934843,-0.023339
DF-1093_water.log,CSCCC(N)CC(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,11.11,0.139641,-0.33057,-0.00342,-1.511438,-1.8633889999999997,-0.711987,0.636941,-4.760384999999999,628.6912841796875,0.44175000000000003,0.47928,431.563,411.23293602391647,-0.02828900000000001
DF-1123_water.log,CC(=O)NC(CCC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,11.6829,-0.025983,-0.3683,0.01287,-0.0020799999999997487,-3.193418,-0.70505,0.659846,-6.49621,678.2017211914062,0.45804,0.51701,487.402,436.2460996688317,-0.236212
DF-1135_water.log,CC(C)C[C@H](NC(=O)c1ccco1)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,9.1715,0.085007,-0.36236,-0.02272,-0.422782,-2.0248109999999997,-0.64205,0.617202,-4.132295,574.45703125,0.42245,0.51107,382.959,360.18197244019376,0.073327
DF-1150_water.log,CC(C)C[C@H](NC(=O)c1cc2ccccc2n1C)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,8.1947,0.232022,-0.32543,-0.02292,-1.2501470000000001,-1.8069009999999999,-0.640627,0.622103,-4.106414,649.61669921875,0.42225,0.47414,476.403,423.2296397144159,0.122421
DF-115_water.log,CC(C)C[C@H](NC(=O)C(N)CCCN)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,10.7636,0.142404,-0.35137,0.01355,-0.8082919999999998,-1.9465189999999999,-0.72972,0.607167,-5.389235,592.5874633789062,0.45872,0.5000800000000001,482.864,380.2559257457019,-0.025123000000000006
DF-1177_water.log,CC(C)C[C@H](NC(=O)C1CN2CCC1CC2)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,2.3858,0.188044,-0.344,0.01869,-1.344147,-1.890762,-0.683752,0.649575,-4.429617,626.583740234375,0.46386,0.49271,464.718,403.26081705467925,-0.06761500000000004
DF-119_water.log,CC(C)C[C@H](NC(=O)CN1CCc2ccccc21)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,11.0873,0.22253,-0.31906,0.00024,-1.3240790000000002,-1.886733,-0.682268,0.616121,-4.335032,618.0526733398438,0.44541000000000003,0.46777,513.492,425.24530209574755,0.008554000000000006
