Name,Smiles,solv_dip,G_solv,HOMO_solv,LUMO_solv,C_charges,O_charges,Most_neg,Most_pos,Het_charges,SASA,LsoluHsolv,LsolvHsolu,Volume,MW,DeltaG_sol,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,logS
DF-1022_water.log,CC(C)C[C@H](NC(=O)C1OC(O)C(O)C(O)C1O)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,10.2805,-0.211317,-0.36902,0.00671,0.3692199999999999,-4.615156,-0.683849,0.603231,-6.685044,626.7257080078125,0.45188,0.51773,515.698,442.2090762967869,-0.028539,12.764271804400773,-1.896247505845997,12.764271804400773,0.034818489124044616,0.2026011350386365,442.4690000000002,412.22900000000016,442.20636392000006,174,0,0.25223372599916766,-0.38737916987595244,0.38737916987595244,0.25223372599916766,1.1935483870967742,1.8709677419354838,2.4193548387096775,16.638492741596924,9.962981914292927,2.4640949442340214,-2.375182519468374,2.2060469527278745,-2.627787793740935,5.8977732723981084,-0.2754737054820231,2.040407656758169,711.511567686935,23.292164260954433,17.39364068680807,17.39364068680807,14.543820313256735,10.205058835419502,10.205058835419502,8.312349232539596,8.312349232539596,5.342066265845595,5.342066265845595,3.6053085383012506,3.6053085383012506,-2.3000000000000003,4847408.927313041,24.964825584690903,10.830450997921337,6.344500622466353,179.1137595506251,41.113338345181866,30.39558082154083,12.393993117083514,11.814359458703011,5.907179729351506,0.0,14.383611552215466,0.0,5.261891554738487,0.0,13.847474399381248,25.18037091493942,12.462662452073968,6.069221312792274,39.546584085378335,17.721539188054518,5.261891554738487,15.950365812018994,11.835812092322787,75.89951320678361,6.544756405912575,0.0,0.0,6.069221312792274,15.950365812018994,0.0,0.0,0.0,87.48197911195426,19.120474506015512,23.166924959853546,33.10993926815928,0.0,0.0,0.0,0.0,201.24,54.60393339732735,40.071612686316776,0.0,30.584635067526307,12.965578028838586,0.0,0.0,0.0,19.91669571217352,15.950365812018994,4.736862953800049,4.886393923386618,0.0,37.07782585331731,55.882298306668346,0.0,-2.221889951745651,-0.09525026275432236,-8.165823331632488,4.136445462760189,0.0,0.7894736842105263,31,7,12,0,2,2,0,0,0,9,7,12,8,0,2,2,2,-3.148219999999993,103.56330000000004,0,4,4,0,0,0,0,0,0,0,3,3,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.3280735099999987
DF-1042_water.log,CC(C)C[C@H](NC(=O)Cc1ccc2ccccc2n1)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,12.6059,0.227093,-0.35231,-0.03796,-1.1033069999999998,-1.879214,-0.686296,0.628719,-4.376875,622.2669067382812,0.40721,0.50102,452.288,435.2297134256159,-0.026123,12.87294954327512,-0.7869733978230344,12.87294954327512,0.052215683513482825,0.5544456328895043,435.52800000000025,406.29600000000016,435.22703978800007,168,0,0.24311988913089252,-0.3558373943158056,0.3558373943158056,0.24311988913089252,1.21875,2.0,2.6875,16.159131087667674,9.976510856404207,2.2970343350210065,-2.2230072892402535,2.1646195490296436,-2.5032810672437438,5.88803801940433,-0.12919882143710218,1.6190432930742857,1029.7117944028398,23.087211190881018,18.428208660220502,18.428208660220502,15.350575645948078,10.971204536110768,10.971204536110768,8.624317422001143,8.624317422001143,5.511949900538763,5.511949900538763,3.890126739236759,3.890126739236759,-3.4700000000000006,14270685.627703931,23.198536389920662,10.71247807152241,6.266486061159146,187.3277487270227,15.950365812018994,12.083681658295921,0.0,17.721539188054518,0.0,0.0,19.367590073162674,0.0,5.261891554738487,0.0,38.112942673227685,37.31310505186264,17.848886666538764,23.700671648183004,14.383611552215466,28.62446412013557,5.261891554738487,20.9343443329662,11.835812092322787,51.61444254938121,6.544756405912575,42.09213040561812,0.0,6.069221312792274,15.950365812018994,0.0,0.0,0.0,41.33395577321022,20.804433175141472,23.166924959853546,38.803867263007746,36.39820241076966,0.0,10.902924932081056,0.0,123.97999999999999,17.990861387647428,19.645503106953953,0.0,36.49181479687782,25.080327646613057,10.902924932081056,0.0,6.06636706846161,44.179309741689295,27.003565645758474,0.0,0.0,0.0,41.85342632323907,18.686265070077532,1.4251272202663525,-0.9322132627331068,11.892979918959856,1.399451521134361,4.5082965423892665,0.0,0.4583333333333333,32,3,8,0,1,1,1,1,2,5,3,8,9,0,1,1,3,1.8427799999999996,120.11010000000006,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-3.310509731999996
DF-1048_water.log,CC(C)C[C@H](NC(=O)NC(C)c1ccc(F)cc1)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,8.4193,0.10841,-0.35617,-0.01412,-0.874897,-1.865818,-0.656867,0.734778,-4.839552,641.2481079101562,0.43105,0.50488,388.849,431.2359188934843,-0.023339,13.088556332087139,-0.83919222936088,13.088556332087139,0.11063611573516563,0.4782308292148218,431.5120000000002,401.27200000000016,431.23326804000004,168,0,0.315416687453372,-0.3558373943158056,0.3558373943158056,0.315416687453372,1.1935483870967742,1.8709677419354838,2.4193548387096775,19.142145996813348,9.977586119501012,2.298305478302267,-2.2357928453735565,2.1649317232114376,-2.5247943681750193,5.873438367551024,-0.12505718199148325,1.9601084551028365,821.4304325372777,22.965890847321372,18.074502487353598,18.074502487353598,14.688779603399603,10.493900267641463,10.493900267641463,8.2757752336574,8.2757752336574,5.201895109416557,5.201895109416557,3.5049145646429958,3.5049145646429958,-3.1500000000000004,5631753.864099418,24.122490531014122,11.298186344966776,7.554015745430648,181.50677591527193,21.267154416025324,17.900902499341818,0.0,11.814359458703011,0.0,6.031114512338072,9.589074368143644,9.184952231746642,5.261891554738487,0.0,25.980208536304467,49.800293743250265,12.462662452073968,12.111062141940234,18.774026599890284,17.845473971041084,5.261891554738487,21.267154416025324,11.835812092322787,58.15919895529379,6.544756405912575,35.646140606589334,0.0,6.069221312792274,21.267154416025324,9.184952231746642,0.0,0.0,36.47391203524958,9.589074368143644,28.98414580089944,51.63896878869487,24.26546827384644,0.0,0.0,0.0,123.12,30.06381672913346,24.03591815462877,0.0,29.981034285646196,19.386399651764595,5.563451491696996,12.13273413692322,19.056471336613843,19.91669571217352,21.267154416025324,0.0,13.088556332087139,0.0,37.013271597544396,20.17850277164818,0.7229591206835145,-1.131492234803975,5.219196045273336,1.2428088405674451,6.166197526999968,0.0,0.5454545454545454,31,4,8,0,1,1,1,0,1,4,4,9,9,0,1,1,2,2.13518,113.00280000000006,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-3.232012225999996
DF-1093_water.log,CSCCC(N)CC(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,11.11,0.139641,-0.33057,-0.00342,-1.511438,-1.863389,-0.711987,0.636941,-4.760384999999999,628.6912841796875,0.44175,0.47928,431.563,411.23293602391647,-0.028289,12.684557779532076,-0.7668979364524102,12.684557779532076,0.08262750848720413,0.36946664467714835,411.57200000000023,378.30800000000016,411.23041091600004,158,0,0.2431196825124891,-0.3558373943158056,0.3558373943158056,0.2431196825124891,1.3928571428571428,2.107142857142857,2.642857142857143,32.16636408377983,9.976024108384209,2.2975874578461846,-2.2292847167576038,2.160849038824954,-2.5066648517766144,7.980972314251029,-0.12959987159203537,2.6295564838688934,578.40663105873,21.104083527755577,16.994055840799003,17.810552421726726,13.260457910671601,9.779157017624689,11.17300386774204,7.697929011321046,8.683527570974533,4.654532795936845,5.298483346796223,3.136247893479208,3.6746995840293453,-1.7899999999999998,1031358.4762245266,24.24815337657383,12.62572355896969,8.932869613859305,171.29211118824136,21.684033289181176,12.083681658295921,0.0,17.721539188054518,0.0,0.0,14.383611552215466,0.0,17.0237765041296,0.0,13.847474399381248,43.60981532812363,24.92532490414794,6.069221312792274,14.383611552215466,29.48342413744563,5.261891554738487,15.950365812018994,17.56947956948497,64.07710500145518,18.55337919617077,0.0,0.0,6.069221312792274,21.684033289181176,0.0,0.0,11.761884949391115,54.40044087166916,14.383611552215466,23.166924959853546,45.95158251401131,0.0,0.0,0.0,0.0,137.10999999999999,17.990861387647428,19.645503106953953,0.0,42.53365562602578,19.386399651764595,12.1736752296728,0.0,11.761884949391115,20.103243582892652,22.019587124811267,5.733667477162185,0.0,1.671660639610294,36.68911373998358,17.53881462702873,5.96476661750121,0.04775704129437286,0.30793768880917805,4.265081297567267,4.5148683482053675,0.0,0.7894736842105263,28,5,8,0,1,1,0,0,0,6,4,9,12,0,1,1,1,0.5223800000000014,110.25450000000006,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-2.039869635999996
DF-1123_water.log,CC(=O)NC(CCC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,11.6829,-0.025983,-0.3683,0.01287,-0.0020799999999997,-3.193418,-0.70505,0.659846,-6.49621,678.2017211914062,0.45804,0.51701,487.402,436.2460996688317,-0.236212,12.81076291782145,-1.0264715890437388,12.81076291782145,0.005578956827603898,0.25637997438943155,436.5130000000002,404.2570000000002,436.243418124,172,0,0.24312111368014627,-0.36967861863690826,0.36967861863690826,0.24312111368014627,1.1612903225806452,1.8064516129032258,2.2903225806451615,16.164672396395808,9.975073049389406,2.309722502870629,-2.247928144907342,2.161023620387687,-2.5482740956595773,5.919520800467196,-0.13229598142859067,2.835210364921006,732.0622884238273,23.551677284948276,18.195197350076313,18.195197350076313,14.526983560851129,10.364925663017118,10.364925663017118,8.151422851411315,8.151422851411315,4.868849951044887,4.868849951044887,3.3466536957652404,3.3466536957652404,-3.16,3457540.5594806666,25.875919540229884,12.515991936673384,9.460244105743813,181.4068496609683,27.000821893187506,18.12552248744388,0.0,29.535898646757527,0.0,0.0,23.97268592035911,0.0,5.261891554738487,0.0,13.847474399381248,31.60119253786543,25.8072212746906,6.069221312792274,23.97268592035911,29.535898646757527,5.261891554738487,21.267154416025324,17.56947956948497,71.0008422011458,6.544756405912575,0.0,0.0,6.069221312792274,27.000821893187506,0.0,0.0,0.0,54.20617754011398,23.97268592035911,23.166924959853546,52.87531971370193,0.0,0.0,0.0,0.0,183.27999999999997,41.7542414048499,29.234577475097595,0.0,37.00545669045232,19.386399651764595,0.0,6.923737199690624,0.0,19.91669571217352,21.267154416025324,5.733667477162185,0.0,0.0,59.733929959184074,19.742933538688927,5.127485121949476,-2.7056358915432153,-0.8697273545424702,0.9551997956192024,5.515814830643995,0.0,0.7,31,6,11,0,1,1,0,0,0,6,5,11,12,0,1,1,1,-1.1779199999999952,110.69620000000006,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.0066089159999936
DF-1135_water.log,CC(C)C[C@H](NC(=O)c1ccco1)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,9.1715,0.085007,-0.36236,-0.02272,-0.422782,-2.024811,-0.64205,0.617202,-4.132295,574.45703125,0.42245,0.51107,382.959,360.18197244019376,0.073327,12.600298563869993,-0.790875377928949,12.600298563869993,0.09319303718834715,0.6367676735622616,360.41400000000016,336.2220000000001,360.179755248,140,0,0.2871250830522601,-0.45920501392777424,0.45920501392777424,0.2871250830522601,1.4230769230769231,2.1923076923076925,2.730769230769231,16.340775914729626,9.976925590340558,2.299444284024789,-2.218480905479201,2.1611835222915743,-2.4994522709446394,5.951649341051405,-0.12508761524571813,1.9865713492515868,677.8632553315216,19.104083527755577,14.950085766428984,14.950085766428984,12.401085903164898,8.724018494600609,8.724018494600609,6.8355000264970185,6.8355000264970185,4.229256876579983,4.229256876579983,2.910705196540503,2.910705196540503,-2.82,704744.7196395587,19.504010505712255,9.037757619952323,5.342547778401871,151.8558233640212,20.36751674907234,12.083681658295921,5.760247418874442,11.814359458703011,5.907179729351506,0.0,14.383611552215466,0.0,5.261891554738487,0.0,13.847474399381248,37.31310505186264,12.462662452073968,12.33238430843133,18.800762489268813,17.721539188054518,5.261891554738487,15.950365812018994,11.835812092322787,45.193620926455196,6.544756405912575,24.156144551436718,0.0,6.069221312792274,15.950365812018994,0.0,0.0,0.0,36.34997725226302,9.589074368143644,23.166924959853546,43.66472387110554,22.813048069615622,0.0,0.0,0.0,124.22999999999999,23.898041116998932,19.645503106953953,0.0,29.924060863474743,19.386399651764595,0.0,12.329530064100666,6.06636706846161,19.91669571217352,15.950365812018994,4.417150937053347,5.043106886349581,0.0,36.44369320213761,17.326848954823447,0.0,-1.0246182063020077,3.548280590979836,2.70563464498793,4.45705392702361,0.0,0.5555555555555556,26,3,8,0,1,1,0,1,1,5,3,8,8,0,1,1,2,0.9586800000000004,92.69460000000005,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.320214281999997
DF-1150_water.log,CC(C)C[C@H](NC(=O)c1cc2ccccc2n1C)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,8.1947,0.232022,-0.32543,-0.02292,-1.250147,-1.806901,-0.640627,0.622103,-4.106414,649.61669921875,0.42225,0.47414,476.403,423.2296397144159,0.122421,12.97861978976878,-0.7865382011900774,12.97861978976878,0.0858276618784164,0.600823716500894,423.5170000000002,394.28500000000014,423.22703978800007,164,0,0.2680810574405614,-0.3558373943158056,0.3558373943158056,0.2680810574405614,1.2903225806451613,2.032258064516129,2.6451612903225805,16.159623118902957,9.976776411408435,2.3014981106276418,-2.2239851973580316,2.1912543221692795,-2.5020609198945722,6.004011630349554,-0.12508417073654474,1.7136592700018283,1019.878695734901,22.543241116511002,18.14375160984433,18.14375160984433,14.794932753282252,10.627978017090847,10.627978017090847,8.505609304122505,8.505609304122505,5.668612688316745,5.668612688316745,4.012547671507477,4.012547671507477,-3.3400000000000007,8881295.938269002,22.347563116989175,9.645655503046473,5.233110263807169,181.52723265368587,20.517465459810346,17.77760965314438,0.0,11.814359458703011,5.907179729351506,0.0,14.383611552215466,0.0,5.261891554738487,0.0,32.046575604766076,37.31310505186264,30.413259366832218,6.069221312792274,14.383611552215466,28.62446412013557,5.261891554738487,20.517465459810346,18.883484074999977,45.193620926455196,6.544756405912575,36.02576333715651,0.0,6.069221312792274,15.950365812018994,0.0,0.0,0.0,40.91707690005437,16.636746350820832,23.166924959853546,43.59840444707956,30.33183534230805,0.0,10.902924932081056,0.0,116.02000000000001,17.990861387647428,19.645503106953953,0.0,30.070993173951805,25.080327646613057,10.902924932081056,0.0,10.633466716252965,45.16061465590487,22.019587124811267,0.0,1.7974142632259513,0.0,37.72799207218968,18.713850531479256,1.3880665363158222,-0.9631280368656185,9.98377821738475,1.3504848323543175,4.522246207073186,1.8126287101759893,0.4782608695652174,31,3,8,0,1,1,1,1,2,5,3,8,8,0,1,1,3,1.8573799999999998,116.90560000000006,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.2369373679999955
DF-115_water.log,CC(C)C[C@H](NC(=O)C(N)CCCN)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,10.7636,0.142404,-0.35137,0.01355,-0.8082919999999998,-1.946519,-0.72972,0.607167,-5.389235,592.5874633789062,0.45872,0.5000800000000001,482.864,380.2559257457019,-0.025123,12.637146557697152,-0.788122305000462,12.637146557697152,0.09499123542885313,0.3122831133379536,380.4930000000001,348.2370000000001,380.253588884,152,0,0.24312076614155667,-0.3558373943158056,0.3558373943158056,0.24312076614155667,1.3333333333333333,2.037037037037037,2.5555555555555554,16.159847553789554,9.975496161663402,2.301423810832135,-2.2358094814896043,2.1601170313058713,-2.5338223970892733,5.896133599554861,-0.13006634677768733,2.6773150644088743,559.7904397449253,20.396976746569027,16.163157819524763,16.163157819524763,12.777294663077209,9.517355336567551,9.517355336567551,7.430721963259847,7.430721963259847,4.5514765113360065,4.5514765113360065,3.0211911553096362,3.0211911553096362,-2.18,669961.0719144677,22.860290088638195,11.515846938650466,7.928813464430164,160.14394974549222,27.417700766343362,12.083681658295921,0.0,17.721539188054518,0.0,0.0,14.383611552215466,0.0,5.261891554738487,0.0,13.847474399381248,44.56677056670402,12.462662452073968,12.111062141940234,14.383611552215466,17.721539188054518,5.261891554738487,15.950365812018994,23.303147046647155,64.07710500145518,13.08951281182515,0.0,0.0,6.069221312792274,27.417700766343362,0.0,0.0,0.0,48.93657448732355,14.383611552215466,23.166924959853546,45.95158251401131,0.0,0.0,0.0,0.0,163.13,29.939881946146894,19.645503106953953,0.0,24.1638134446003,38.77279930352919,0.0,0.0,0.0,19.91669571217352,15.950365812018994,11.46733495432437,0.0,0.0,36.56910266040036,17.387120584127572,11.266868958511346,-1.066106911774785,-0.27297657157190036,2.385187389837462,4.8974705571366215,0.0,0.7777777777777778,27,7,9,0,1,1,0,0,0,6,5,9,11,0,1,1,1,-0.8819199999999956,100.92690000000005,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.6690149039999962
DF-1177_water.log,CC(C)C[C@H](NC(=O)C1CN2CCC1CC2)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,2.3858,0.188044,-0.344,0.01869,-1.344147,-1.890762,-0.683752,0.649575,-4.429617,626.583740234375,0.46386,0.49271,464.718,403.2608170546793,-0.067615,12.925602971930534,-0.7363718033509705,12.925602971930534,0.05196449567481287,0.5425493606545855,403.5270000000001,370.2630000000001,403.258339916,160,0,0.2431198738429988,-0.3558373943158056,0.3558373943158056,0.2431198738429988,1.2413793103448276,1.9655172413793103,2.4827586206896552,16.15965447939712,9.782137805042337,2.3926464077570455,-2.438073562034657,2.3208319397222774,-2.5641391760768504,5.888805936934126,-0.1354063757302541,1.5896740415466513,665.7179416141992,20.965890847321376,17.447234708208192,17.447234708208192,13.867412398353684,10.874286925081929,10.874286925081929,9.137856402637366,9.137856402637366,6.488390864218587,6.488390864218587,4.814439671645365,4.814439671645365,-2.14,3644744.782968683,21.566039479428255,9.572691091603936,5.473994722211108,172.30716605780154,20.85027554286947,12.083681658295921,0.0,17.721539188054518,0.0,0.0,14.383611552215466,0.0,5.261891554738487,0.0,13.847474399381248,57.02943301877798,19.007418857986544,11.987127358953668,14.383611552215466,17.721539188054518,5.261891554738487,20.85027554286947,23.671624184645573,58.03526417230722,26.1790256236503,0.0,0.0,6.069221312792274,15.950365812018994,0.0,0.0,0.0,60.88415620085121,14.383611552215466,35.002737052176336,45.95158251401131,0.0,0.0,0.0,0.0,114.33000000000001,12.083681658295921,19.645503106953953,0.0,35.475257326538696,31.725127320851996,32.475912463589744,0.0,0.0,13.847474399381248,26.91949685566174,0.0,0.0,0.0,39.91865786013447,17.932875467860622,0.0,-0.1350642552549678,0.6986785802347666,3.5769884909562943,7.50786385606881,0.0,0.8095238095238095,29,3,8,0,4,4,0,0,0,5,3,8,8,0,4,4,4,0.39368000000000253,107.31710000000007,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.9359818559999977
DF-119_water.log,CC(C)C[C@H](NC(=O)CN1CCc2ccccc21)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,11.0873,0.22253,-0.31906,0.00024,-1.3240790000000002,-1.886733,-0.682268,0.616121,-4.335032,618.0526733398438,0.44541,0.46777,513.492,425.2453020957476,0.008554,12.883316020482777,-0.7653950710985347,12.883316020482777,0.07645685365271304,0.5484683250228428,425.5330000000002,394.28500000000014,425.24268985200007,166,0,0.24312091283594753,-0.36166573480899145,0.36166573480899145,0.24312091283594753,1.2903225806451613,2.064516129032258,2.7419354838709675,16.15973375696866,9.977080918777203,2.3028426240263298,-2.2437242339163523,2.2642927144920617,-2.517677263729981,5.897671874677855,-0.12890723836128312,1.5815935959528227,863.0130708620452,22.38010440969447,18.187721684214345,18.187721684214345,14.867412398353686,10.969369667871506,10.969369667871506,8.752518372471961,8.752518372471961,5.832012593229275,5.832012593229275,4.257717201092267,4.257717201092267,-3.08,9669871.92171312,22.60176456289857,10.292064565002041,5.969410710786374,182.9103229598084,20.85027554286947,12.083681658295921,0.0,17.721539188054518,0.0,0.0,14.383611552215466,0.0,5.261891554738487,0.0,32.046575604766076,43.23101109802404,24.69480513267011,12.613977718704849,14.383611552215466,23.40892546273808,5.261891554738487,15.950365812018994,11.835812092322787,51.61444254938121,24.534178948588206,29.828919765543436,0.0,6.069221312792274,20.85027554286947,5.687386274683562,0.0,0.0,49.43949006408816,20.804433175141472,23.166924959853546,38.673390759856275,24.26546827384644,0.0,0.0,0.0,114.33000000000001,12.083681658295921,19.645503106953953,0.0,42.52292930921589,19.386399651764595,18.652964303522147,5.563451491696996,0.0,36.94648533561656,28.085954193272876,0.0,0.0,0.0,39.4282312722701,17.78759935673469,2.2791490392411005,-0.7588258163239427,8.606175496216201,2.311022296993028,5.513315021535491,0.0,0.5652173913043478,31,3,8,0,2,2,1,0,1,5,3,8,9,0,1,1,3,1.11458,117.02210000000007,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.948546749999997
